67747,13730,0.207593
41186,9672,0.247073
26313,7920,0.261032
21090,6526,0.295804
16651,5534,0.342411
13913,4849,0.379909
12326,4392,0.443489
11240,4092,0.455242
10011,3753,0.426732
8599,3418,0.430756
7675,3132,0.564770
7093,2873,0.444341
6709,2746,0.736548
6329,2630,0.529153
6046,2516,0.534417
5823,2444,0.794547
5629,2376,0.608253
5452,2311,0.722458
5345,2278,0.646386
5237,2237,0.862730
5146,2205,1.050077
5068,2169,0.829054
4985,2139,0.963925
4898,2092,1.101652
4837,2058,1.008408
4750,2023,0.902614
4680,1985,1.018042
4613,1950,0.843233
4559,1913,0.957868
4524,1885,1.057741
4499,1869,0.922261
4468,1846,1.367858
4438,1830,1.257257
4410,1820,1.256289
4378,1806,1.363619
4355,1786,1.228733
4338,1772,1.265481
4312,1752,1.333165
4286,1731,1.367473
4265,1714,1.235306
4242,1693,1.025748
4221,1672,1.347308
4206,1657,1.535916
4195,1639,1.929368
4183,1620,1.829727
4166,1600,1.860505
4142,1586,1.894008
4128,1574,1.801465
4112,1551,1.767285
4102,1535,2.230636
4090,1520,2.075434
4079,1508,2.168605
4072,1495,2.167392
4062,1479,2.034361
4051,1465,2.008339
4041,1448,2.056889
4036,1440,1.991572
4028,1428,1.989337
4020,1411,1.939129
4017,1401,1.951155
3996,1390,2.042503
3964,1375,2.089280
3957,1370,2.052873
3951,1356,1.972586
3948,1352,1.934627
3945,1332,1.933697
3944,1305,2.076625
3942,1277,2.054402
3940,1249,1.923654
3933,1223,1.923706
3933,1195,1.923622
3933,1171,2.022897
3930,1140,2.087457
3928,1114,2.059160
3926,1083,2.119111
3922,1056,2.126117
3920,1026,2.151870
3917,1007,2.161667
3917,983,2.149392
3914,953,2.153076
3912,925,2.174463
3912,896,2.318335
3910,867,2.322233
3910,837,2.436420
3909,808,2.432633
3908,779,2.436197
3907,749,2.431653
3905,719,2.427938
3903,690,2.437785
3903,659,2.443402
3903,629,2.457130
3902,607,2.393979
3901,575,2.335694
3901,561,2.338687
3900,545,2.337577
3899,530,2.472277
3897,520,2.434627
3897,513,2.391986
3896,504,2.396197
3895,488,2.367181
3895,471,2.395152
3894,470,2.404679
3894,470,2.406422
3894,460,2.520047
3894,439,2.557162
3892,427,2.411991
3891,415,2.574667
3891,388,2.394397
3891,356,2.551092
3891,324,2.602355
3891,292,2.519627
3891,260,2.540149
3891,228,2.555723
3891,196,2.488404
3891,164,2.581831
3891,132,2.553641
3891,100,2.584040
3891,68,2.530095
3891,36,2.447321
3891,10,2.454254
3890,5,2.516202
3890,0,2.653921
3890,0,2.617302
3890,0,2.604793
3890,0,2.600721
3890,0,2.669110
3890,0,2.660792
3890,0,2.667385
